datetime,ta,GHI,rh,va,cloud,forecast,WBGT
2023-06-01 00:00:00,19.03134,584.8,33.3,2.6314788,8.0,0,15.766603719600003
2023-06-01 01:00:00,18.456380000000024,425.3,39.7,1.563411,6.0,0,15.452419715790022
2023-06-01 01:00:00,17.256700000000023,416.5,50.8,2.6743183,5.0,1,15.309213801190015
2023-06-01 02:00:00,16.96075000000002,243.6,48.8,2.192077,0.0,0,14.104295122880014
2023-06-01 02:00:00,16.84966000000003,256.4,47.0,2.3448205,0.0,1,13.910553751080023
2023-06-01 02:00:00,16.99150000000003,268.6,43.5,3.1719275,0.0,2,13.746172837280028
2023-06-01 03:00:00,15.105650000000026,93.1,70.8,2.6912303,0.0,0,13.325346636470023
2023-06-01 03:00:00,15.54480000000001,98.6,58.9,2.4359655,6.0,1,12.80540026408001
2023-06-01 03:00:00,16.161980000000028,68.2,49.7,1.8230622,47.0,2,12.413467427000025
2023-06-01 03:00:00,16.42443000000003,69.7,51.7,1.7215977,46.0,3,12.831464295950028
2023-06-01 04:00:00,13.867600000000039,0.0,68.6,2.6898634,0.0,0,11.318312504720037
2023-06-01 04:00:00,13.836100000000044,0.0,69.6,2.9293363,0.0,1,11.35295373884004
2023-06-01 04:00:00,14.006220000000042,0.0,64.2,2.337042,2.0,2,11.123634923680038
2023-06-01 04:00:00,13.703550000000007,0.0,67.7,3.2801483,0.0,3,11.061437345440007
2023-06-01 04:00:00,13.68365,0.0,65.9,3.3737898,0.0,4,10.89827937564
2023-06-01 05:00:00,13.078730000000007,0.0,71.3,1.8776733,0.0,0,10.831022908320007
2023-06-01 05:00:00,12.967900000000043,0.0,72.9,3.1526654,0.0,1,10.773984976320039
2023-06-01 05:00:00,13.42034000000001,0.0,66.6,4.5075197,5.0,2,10.642840133640009
2023-06-01 05:00:00,12.747950000000003,0.0,70.5,2.799883,0.0,3,10.406582929400004
2023-06-01 05:00:00,12.773430000000019,0.0,67.9,3.8376737,0.0,4,10.176978533600018
2023-06-01 05:00:00,12.653300000000002,0.0,70.6,3.587317,0.0,5,10.279924069200002
2023-06-01 06:00:00,11.94010000000003,0.0,75.8,1.9392198,0.0,0,10.078744101040028
2023-06-01 06:00:00,12.07340000000005,0.0,74.1,2.605845,0.0,1,10.044580370800045
2023-06-01 06:00:00,12.068020000000047,0.0,72.7,2.6780195,0.0,2,9.933639542280044
2023-06-01 06:00:00,12.056420000000003,0.0,72.6,3.0845504,0.0,3,9.892137005760002
2023-06-01 06:00:00,11.626700000000028,0.0,71.3,3.3689203,0.0,4,9.376174692040028
2023-06-01 06:00:00,11.837950000000035,0.0,71.7,3.8189518,0.0,5,9.578469770840032
2023-06-01 06:00:00,12.094840000000033,0.0,72.7,3.5531392,0.0,6,9.90898885232003
2023-06-01 07:00:00,10.899680000000046,0.0,77.0,1.9388591,0.0,0,9.166846110680044
2023-06-01 07:00:00,11.047480000000007,0.0,72.1,2.4553576,0.0,1,8.937839404640009
2023-06-01 07:00:00,11.083860000000016,0.0,73.7,2.7379625,0.0,2,9.067696652440015
2023-06-01 07:00:00,11.339300000000037,0.0,70.8,2.7460766,0.0,3,9.105471443280035
2023-06-01 07:00:00,11.060570000000041,0.0,75.1,3.3313675,0.0,4,9.109199245440038
2023-06-01 07:00:00,10.968200000000024,0.0,74.5,3.196061,0.0,5,8.987134538800023
2023-06-01 07:00:00,11.168100000000038,0.0,72.7,3.1704576,0.0,6,9.052992265680034
2023-06-01 07:00:00,11.257780000000025,0.0,75.5,3.0945315,0.0,7,9.339051277000024
2023-06-01 08:00:00,10.884000000000015,0.0,70.1,1.938576,0.0,0,8.674461180800014
2023-06-01 08:00:00,10.554400000000044,0.0,76.8,2.7781427,1.0,1,8.773781763960042
2023-06-01 08:00:00,10.636320000000012,0.0,72.1,2.410631,0.0,2,8.55163282904001
2023-06-01 08:00:00,10.706140000000005,0.0,74.7,2.6047864,0.0,3,8.785065199280004
2023-06-01 08:00:00,10.740139999999997,0.0,74.1,2.7323897,0.0,4,8.768915781239995
2023-06-01 08:00:00,10.455900000000042,0.0,80.4,2.8057156,1.0,5,8.922270298880042
2023-06-01 08:00:00,10.684840000000008,0.0,71.6,2.2408946,0.0,6,8.572919097360009
2023-06-01 08:00:00,10.826620000000048,0.0,70.3,2.3437538,0.0,7,8.611168229760045
2023-06-01 08:00:00,10.873379999999997,0.0,73.5,2.7279763,0.0,8,8.854438871239998
2023-06-01 09:00:00,10.469719999999995,0.0,70.0,2.1270149,0.0,0,8.267589715719996
2023-06-01 09:00:00,10.294669999999996,0.0,73.6,2.6815982,0.0,1,8.314283151999998
2023-06-01 09:00:00,10.001100000000008,0.0,79.1,2.856524,0.0,2,8.39172939640001
2023-06-01 09:00:00,10.045500000000004,0.0,80.1,2.8050127,0.0,3,8.504297859560003
2023-06-01 09:00:00,10.067000000000007,0.0,82.4,2.6144135,0.0,4,8.689661283800007
2023-06-01 09:00:00,10.010640000000024,0.0,82.6,2.8993082,0.0,5,8.631706253840024
2023-06-01 09:00:00,10.02758,0.0,82.0,2.627756,0.0,6,8.623767412
2023-06-01 09:00:00,10.482630000000029,0.0,70.4,2.226716,0.0,7,8.301218178640028
2023-06-01 09:00:00,10.68667000000005,0.0,70.0,2.6551452,0.0,8,8.441183492560047
2023-06-01 09:00:00,10.482050000000015,0.0,72.1,2.2884355,0.0,9,8.412755190000015
2023-06-01 10:00:00,9.921600000000012,0.0,76.7,2.4406264,3.0,0,8.179433392320012
2023-06-01 10:00:00,9.846920000000011,0.0,78.4,2.9210472,0.0,1,8.192798001920012
2023-06-01 10:00:00,9.697530000000029,0.0,78.4,2.7686787,0.0,2,8.057512276200029
2023-06-01 10:00:00,9.726500000000044,0.0,79.3,2.5033722,0.0,3,8.159834044160041
2023-06-01 10:00:00,9.680260000000033,0.0,82.8,2.585984,0.0,4,8.340247356960031
2023-06-01 10:00:00,9.61318,0.0,84.9,2.5471787,0.0,5,8.4144329058
2023-06-01 10:00:00,9.707970000000046,0.0,82.5,2.7176802,0.0,6,8.340056615560044
2023-06-01 10:00:00,9.652030000000025,0.0,82.3,2.2360976,0.0,7,8.299894508760024
2023-06-01 10:00:00,10.20070000000004,0.0,72.8,2.3509643,0.0,8,8.190183345240037
2023-06-01 10:00:00,10.520500000000027,0.0,72.4,2.670372,0.0,9,8.447700085600026
